path,pillar,mode,seed,collapse_run,collapse_reason,n_interventions,n_tokens_total,n_tokens_total_model,stop_aux,stop_aux_reason,epsilon_pi,k_consecutive,rep_threshold
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_020.jsonl,HUM,baseline,20,0,NONE,0,335,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_021.jsonl,HUM,baseline,21,0,NONE,0,161,256,1,EMPTY_CHUNK,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_022.jsonl,HUM,baseline,22,0,NONE,0,398,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_023.jsonl,HUM,baseline,23,0,NONE,0,386,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_024.jsonl,HUM,baseline,24,0,NONE,0,407,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_025.jsonl,HUM,baseline,25,0,NONE,0,366,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_026.jsonl,HUM,baseline,26,0,NONE,0,349,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_027.jsonl,HUM,baseline,27,0,NONE,0,354,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_028.jsonl,HUM,baseline,28,0,NONE,0,386,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_029.jsonl,HUM,baseline,29,0,NONE,0,419,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_030.jsonl,HUM,baseline,30,0,NONE,0,369,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_031.jsonl,HUM,baseline,31,0,NONE,0,377,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_032.jsonl,HUM,baseline,32,0,NONE,0,424,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_033.jsonl,HUM,baseline,33,0,NONE,0,366,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_034.jsonl,HUM,baseline,34,0,NONE,0,421,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_035.jsonl,HUM,baseline,35,0,NONE,0,240,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_036.jsonl,HUM,baseline,36,0,NONE,0,369,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_037.jsonl,HUM,baseline,37,0,NONE,0,368,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_038.jsonl,HUM,baseline,38,0,NONE,0,352,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_039.jsonl,HUM,baseline,39,0,NONE,0,401,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_040.jsonl,HUM,baseline,40,0,NONE,0,372,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_041.jsonl,HUM,baseline,41,1,REP,0,353,417,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_042.jsonl,HUM,baseline,42,0,NONE,0,329,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_043.jsonl,HUM,baseline,43,1,REP,0,379,490,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_044.jsonl,HUM,baseline,44,0,NONE,0,309,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_045.jsonl,HUM,baseline,45,0,NONE,0,381,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_046.jsonl,HUM,baseline,46,0,NONE,0,394,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_047.jsonl,HUM,baseline,47,0,NONE,0,375,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_048.jsonl,HUM,baseline,48,1,REP,0,148,230,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_049.jsonl,HUM,baseline,49,0,NONE,0,372,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_050.jsonl,HUM,baseline,50,0,NONE,0,401,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_051.jsonl,HUM,baseline,51,0,NONE,0,393,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_052.jsonl,HUM,baseline,52,0,NONE,0,321,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_053.jsonl,HUM,baseline,53,0,NONE,0,398,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_054.jsonl,HUM,baseline,54,0,NONE,0,371,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_055.jsonl,HUM,baseline,55,0,NONE,0,358,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_056.jsonl,HUM,baseline,56,0,NONE,0,361,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_057.jsonl,HUM,baseline,57,1,REP,0,251,310,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_058.jsonl,HUM,baseline,58,0,NONE,0,324,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_059.jsonl,HUM,baseline,59,1,REP,0,268,301,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_060.jsonl,HUM,baseline,60,0,NONE,0,372,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_061.jsonl,HUM,baseline,61,0,NONE,0,375,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_062.jsonl,HUM,baseline,62,0,NONE,0,365,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_063.jsonl,HUM,baseline,63,0,NONE,0,359,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_064.jsonl,HUM,baseline,64,0,NONE,0,358,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_065.jsonl,HUM,baseline,65,0,NONE,0,438,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_066.jsonl,HUM,baseline,66,0,NONE,0,366,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_067.jsonl,HUM,baseline,67,0,NONE,0,384,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_068.jsonl,HUM,baseline,68,0,NONE,0,395,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_069.jsonl,HUM,baseline,69,0,NONE,0,422,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_070.jsonl,HUM,baseline,70,0,NONE,0,390,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_071.jsonl,HUM,baseline,71,0,NONE,0,363,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_072.jsonl,HUM,baseline,72,0,NONE,0,370,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_073.jsonl,HUM,baseline,73,0,NONE,0,389,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_074.jsonl,HUM,baseline,74,0,NONE,0,404,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_075.jsonl,HUM,baseline,75,0,NONE,0,326,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_076.jsonl,HUM,baseline,76,0,NONE,0,399,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_077.jsonl,HUM,baseline,77,0,NONE,0,381,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_078.jsonl,HUM,baseline,78,0,NONE,0,320,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_079.jsonl,HUM,baseline,79,1,REP,0,340,445,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_080.jsonl,HUM,baseline,80,0,NONE,0,405,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_081.jsonl,HUM,baseline,81,1,REP,0,343,407,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_082.jsonl,HUM,baseline,82,0,NONE,0,378,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_083.jsonl,HUM,baseline,83,0,NONE,0,340,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_084.jsonl,HUM,baseline,84,1,REP,0,284,491,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_085.jsonl,HUM,baseline,85,0,NONE,0,375,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_086.jsonl,HUM,baseline,86,0,NONE,0,401,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_087.jsonl,HUM,baseline,87,0,NONE,0,377,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_088.jsonl,HUM,baseline,88,1,REP,0,283,378,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_089.jsonl,HUM,baseline,89,0,NONE,0,354,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_090.jsonl,HUM,baseline,90,0,NONE,0,408,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_091.jsonl,HUM,baseline,91,0,NONE,0,369,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_092.jsonl,HUM,baseline,92,0,NONE,0,252,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_093.jsonl,HUM,baseline,93,0,NONE,0,413,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_094.jsonl,HUM,baseline,94,0,NONE,0,334,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_095.jsonl,HUM,baseline,95,1,REP,0,176,211,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_096.jsonl,HUM,baseline,96,0,NONE,0,376,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_097.jsonl,HUM,baseline,97,0,NONE,0,446,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_098.jsonl,HUM,baseline,98,0,NONE,0,315,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_099.jsonl,HUM,baseline,99,1,REP,0,269,344,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_100.jsonl,HUM,baseline,100,0,NONE,0,389,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_101.jsonl,HUM,baseline,101,0,NONE,0,350,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_102.jsonl,HUM,baseline,102,0,NONE,0,397,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_103.jsonl,HUM,baseline,103,0,NONE,0,375,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_104.jsonl,HUM,baseline,104,0,NONE,0,376,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_105.jsonl,HUM,baseline,105,0,NONE,0,442,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_106.jsonl,HUM,baseline,106,0,NONE,0,358,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_107.jsonl,HUM,baseline,107,0,NONE,0,377,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_108.jsonl,HUM,baseline,108,0,NONE,0,383,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_109.jsonl,HUM,baseline,109,0,NONE,0,410,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_110.jsonl,HUM,baseline,110,0,NONE,0,379,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_111.jsonl,HUM,baseline,111,0,NONE,0,403,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_112.jsonl,HUM,baseline,112,0,NONE,0,415,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_113.jsonl,HUM,baseline,113,0,NONE,0,376,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_114.jsonl,HUM,baseline,114,0,NONE,0,418,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_115.jsonl,HUM,baseline,115,0,NONE,0,303,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_116.jsonl,HUM,baseline,116,0,NONE,0,384,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_117.jsonl,HUM,baseline,117,0,NONE,0,388,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_118.jsonl,HUM,baseline,118,0,NONE,0,290,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_119.jsonl,HUM,baseline,119,0,NONE,0,415,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_120.jsonl,HUM,baseline,120,0,NONE,0,363,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_121.jsonl,HUM,baseline,121,1,REP,0,320,370,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_122.jsonl,HUM,baseline,122,0,NONE,0,360,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_123.jsonl,HUM,baseline,123,0,NONE,0,363,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_124.jsonl,HUM,baseline,124,0,NONE,0,315,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_125.jsonl,HUM,baseline,125,0,NONE,0,380,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_126.jsonl,HUM,baseline,126,0,NONE,0,410,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_127.jsonl,HUM,baseline,127,0,NONE,0,357,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_128.jsonl,HUM,baseline,128,1,REP,0,197,288,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_129.jsonl,HUM,baseline,129,0,NONE,0,382,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_130.jsonl,HUM,baseline,130,0,NONE,0,410,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_131.jsonl,HUM,baseline,131,0,NONE,0,386,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_132.jsonl,HUM,baseline,132,0,NONE,0,324,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_133.jsonl,HUM,baseline,133,0,NONE,0,431,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_134.jsonl,HUM,baseline,134,0,NONE,0,366,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_135.jsonl,HUM,baseline,135,1,REP,0,169,204,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_136.jsonl,HUM,baseline,136,0,NONE,0,359,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_137.jsonl,HUM,baseline,137,0,NONE,0,432,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_138.jsonl,HUM,baseline,138,0,NONE,0,340,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_139.jsonl,HUM,baseline,139,1,REP,0,275,327,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_140.jsonl,HUM,baseline,140,0,NONE,0,375,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_141.jsonl,HUM,baseline,141,0,NONE,0,345,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_142.jsonl,HUM,baseline,142,0,NONE,0,381,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_143.jsonl,HUM,baseline,143,0,NONE,0,376,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_144.jsonl,HUM,baseline,144,0,NONE,0,422,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_145.jsonl,HUM,baseline,145,0,NONE,0,410,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_146.jsonl,HUM,baseline,146,0,NONE,0,325,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_147.jsonl,HUM,baseline,147,0,NONE,0,389,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_148.jsonl,HUM,baseline,148,0,NONE,0,370,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_149.jsonl,HUM,baseline,149,1,REP,0,319,384,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_150.jsonl,HUM,baseline,150,0,NONE,0,385,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_151.jsonl,HUM,baseline,151,0,NONE,0,330,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_152.jsonl,HUM,baseline,152,0,NONE,0,399,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_153.jsonl,HUM,baseline,153,1,REP,0,346,471,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_154.jsonl,HUM,baseline,154,0,NONE,0,403,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_155.jsonl,HUM,baseline,155,0,NONE,0,311,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_156.jsonl,HUM,baseline,156,0,NONE,0,435,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_157.jsonl,HUM,baseline,157,0,NONE,0,355,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_158.jsonl,HUM,baseline,158,0,NONE,0,310,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_159.jsonl,HUM,baseline,159,1,REP,0,346,455,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_160.jsonl,HUM,baseline,160,0,NONE,0,388,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_161.jsonl,HUM,baseline,161,1,REP,0,265,310,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_162.jsonl,HUM,baseline,162,1,REP,0,311,477,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_163.jsonl,HUM,baseline,163,0,NONE,0,356,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_164.jsonl,HUM,baseline,164,0,NONE,0,321,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_165.jsonl,HUM,baseline,165,0,NONE,0,392,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_166.jsonl,HUM,baseline,166,0,NONE,0,376,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_167.jsonl,HUM,baseline,167,0,NONE,0,346,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_168.jsonl,HUM,baseline,168,1,REP,0,249,384,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_169.jsonl,HUM,baseline,169,0,NONE,0,384,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_170.jsonl,HUM,baseline,170,0,NONE,0,410,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_171.jsonl,HUM,baseline,171,0,NONE,0,378,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_172.jsonl,HUM,baseline,172,0,NONE,0,369,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_173.jsonl,HUM,baseline,173,0,NONE,0,404,512,0,NONE,,,
exp_vnext_ollama_512/runs_500_hum_sensitive_baseline/baseline/HUM/seed_174.jsonl,HUM,baseline,174,0,NONE,0,359,512,0,NONE,,,
